Sn,Degree,Volt CH-1,Volt CH-2,Torque,Sync
194,38.6,2.638,1.318,0.545,2.002
195,38.8,2.648,1.323,0.543,2.002
196,39,2.657,1.327,0.54,2.002
197,39.2,2.667,1.332,0.542,2.002
198,39.4,2.675,1.336,0.545,2.002
199,39.6,2.683,1.34,0.543,2.002
200,39.8,2.694,1.345,0.547,2.003
201,40,2.702,1.35,0.549,2.001
202,40.2,2.712,1.355,0.55,2.001
203,40.4,2.72,1.359,0.557,2.001
204,40.6,2.73,1.364,0.555,2.001
205,40.8,2.738,1.368,0.55,2.001
206,41,2.748,1.373,0.553,2.001
207,41.2,2.757,1.377,0.557,2.002
208,41.4,2.765,1.381,0.552,2.002
209,41.6,2.774,1.386,0.56,2.001
210,41.8,2.782,1.39,0.562,2.001
211,42,2.793,1.395,0.562,2.002
212,42.2,2.801,1.399,0.562,2.002
213,42.4,2.811,1.404,0.561,2.002
214,42.6,2.82,1.409,0.562,2.001
215,42.8,2.83,1.414,0.563,2.001
216,43,2.839,1.418,0.557,2.002
217,43.2,2.847,1.423,0.56,2.001
218,43.4,2.856,1.427,0.566,2.001
219,43.6,2.865,1.432,0.565,2.001
220,43.8,2.875,1.437,0.571,2.001
221,44,2.883,1.441,0.572,2.001
222,44.2,2.893,1.446,0.57,2.001
223,44.4,2.901,1.45,0.569,2.001
224,44.6,2.911,1.455,0.573,2.001
225,44.8,2.919,1.459,0.571,2.001
226,45,2.928,1.463,0.565,2.001
227,45.2,2.938,1.468,0.577,2.001
228,45.4,2.946,1.473,0.575,2
229,45.6,2.956,1.477,0.579,2.001
230,45.8,2.965,1.482,0.577,2.001
231,46,2.975,1.487,0.573,2.001
232,46.2,2.983,1.491,0.58,2.001
233,46.4,2.993,1.496,0.579,2.001
234,46.6,3.002,1.5,0.575,2.001
235,46.8,3.01,1.505,0.579,2
236,47,3.02,1.51,0.584,2
237,47.2,3.031,1.515,0.581,2.001
238,47.4,3.041,1.52,0.586,2.001
239,47.6,3.05,1.524,0.589,2.001
240,47.8,3.062,1.53,0.587,2.001
241,48,3.07,1.534,0.586,2.001
242,48.2,3.081,1.539,0.59,2.002
243,48.4,3.089,1.543,0.589,2.002
244,48.6,3.098,1.548,0.585,2.001
245,48.8,3.108,1.553,0.592,2.001
246,49,3.117,1.557,0.589,2.002
247,49.2,3.127,1.562,0.596,2.002
248,49.4,3.135,1.566,0.601,2.002
249,49.6,3.144,1.571,0.595,2.001
250,49.8,3.153,1.575,0.597,2.002
251,50,3.162,1.58,0.601,2.001
252,50.2,3.17,1.584,0.598,2.001
253,50.4,3.177,1.588,0.599,2.001
254,50.6,3.187,1.593,0.599,2.001
255,50.8,3.195,1.597,0.599,2.001
256,51,3.204,1.602,0.603,2
257,51.2,3.212,1.606,0.606,2
258,51.4,3.222,1.611,0.603,2
259,51.6,3.23,1.615,0.606,2
260,51.8,3.24,1.62,0.608,2
261,52,3.248,1.624,0.606,2
262,52.2,3.256,1.628,0.608,2
263,52.4,3.267,1.633,0.609,2.001
264,52.6,3.275,1.638,0.61,1.999
265,52.8,3.285,1.643,0.614,1.999
266,53,3.294,1.647,0.613,2
267,53.2,3.303,1.652,0.61,1.999
268,53.4,3.312,1.656,0.616,2
269,53.6,3.321,1.661,0.616,1.999
270,53.8,3.329,1.665,0.614,1.999
271,54,3.337,1.669,0.617,1.999
272,54.2,3.347,1.674,0.616,1.999
273,54.4,3.355,1.678,0.621,1.999
274,54.6,3.365,1.683,0.623,1.999
275,54.8,3.373,1.687,0.622,1.999
276,55,3.383,1.692,0.625,1.999
277,55.2,3.39,1.696,0.627,1.999
278,55.4,3.4,1.701,0.629,1.999
279,55.6,3.408,1.704,0.627,2
280,55.8,3.416,1.709,0.63,1.999
281,56,3.426,1.714,0.632,1.999
282,56.2,3.434,1.718,0.631,1.999
283,56.4,3.445,1.724,0.632,1.998
284,56.6,3.454,1.728,0.636,1.999
285,56.8,3.465,1.733,0.636,1.999
286,57,3.474,1.737,0.633,2
287,57.2,3.485,1.743,0.636,1.999
288,57.4,3.493,1.747,0.639,1.999
289,57.6,3.502,1.752,0.633,1.999
290,57.8,3.513,1.757,0.638,1.999
291,58,3.521,1.761,0.641,1.999
292,58.2,3.532,1.766,0.639,2
293,58.4,3.54,1.77,0.644,2
294,58.6,3.55,1.775,0.643,2
295,58.8,3.559,1.779,0.644,2.001
296,59,3.569,1.784,0.649,2.001
297,59.2,3.577,1.789,0.647,1.999
298,59.4,3.585,1.792,0.646,2.001
299,59.6,3.596,1.798,0.653,2
300,59.8,3.604,1.802,0.653,2
301,60,3.614,1.807,0.655,2
302,60.2,3.622,1.811,0.662,2
303,60.4,3.632,1.815,0.658,2.001
304,60.6,3.64,1.819,0.657,2.001
305,60.8,3.65,1.824,0.664,2.001
306,61,3.657,1.828,0.663,2.001
307,61.2,3.665,1.832,0.656,2.001
308,61.4,3.675,1.837,0.668,2.001
309,61.6,3.682,1.841,0.663,2
310,61.8,3.692,1.847,0.666,1.999
311,62,3.7,1.851,0.669,1.999
312,62.2,3.71,1.856,0.667,1.999
313,62.4,3.719,1.86,0.671,1.999
314,62.6,3.729,1.865,0.671,1.999
315,62.8,3.737,1.869,0.674,1.999
316,63,3.746,1.874,0.677,1.999
317,63.2,3.757,1.879,0.677,1.999
318,63.4,3.765,1.883,0.682,1.999
319,63.6,3.774,1.888,0.684,1.999
320,63.8,3.783,1.892,0.687,1.999
321,64,3.792,1.897,0.686,1.999
322,64.2,3.8,1.901,0.69,1.999
323,64.4,3.81,1.906,0.688,1.999
324,64.6,3.818,1.91,0.688,1.999
325,64.8,3.826,1.914,0.689,1.999
326,65,3.838,1.92,0.689,1.999
327,65.2,3.845,1.923,0.694,1.999
328,65.4,3.854,1.928,0.698,1.999
329,65.6,3.862,1.931,0.699,2
330,65.8,3.871,1.936,0.701,1.999
331,66,3.879,1.94,0.703,1.999
332,66.2,3.889,1.946,0.703,1.998
333,66.4,3.898,1.949,0.699,2
334,66.6,3.905,1.953,0.709,1.999
335,66.8,3.915,1.958,0.709,1.999
336,67,3.922,1.962,0.712,1.999
337,67.2,3.932,1.967,0.719,1.999
338,67.4,3.94,1.971,0.716,1.999
339,67.6,3.949,1.975,0.721,1.999
340,67.8,3.957,1.979,0.719,1.999
341,68,3.968,1.985,0.716,1.999
342,68.2,3.975,1.989,0.725,1.998
343,68.4,3.983,1.993,0.727,1.998
344,68.6,3.995,1.996,0.718,2.002
345,68.8,4.003,1.996,0.73,2.006
346,69,4.007,1.996,0.728,2.008
347,69.2,4.006,1.995,0.738,2.008
348,69.4,4.007,1.996,0.738,2.008
349,69.6,4.006,1.996,0.734,2.007
350,69.8,4.007,1.996,0.739,2.008
351,70,4.007,1.996,0.744,2.008
352,70.2,4.007,1.996,0.745,2.008
353,70.4,4.007,1.996,0.738,2.008
354,70.6,4.007,1.996,0.739,2.008
355,70.8,4.006,1.996,0.75,2.007
356,71,4.006,1.995,0.741,2.008
357,71.2,4.006,1.996,0.764,2.007
358,71.4,4.007,1.996,0.819,2.008
359,71.4,4.007,1.996,0.647,2.008
360,71.2,4.007,1.996,0.597,2.008
361,71,4.006,1.995,0.506,2.008
362,70.8,4.006,1.996,0.453,2.007
363,70.6,4.007,1.996,0.399,2.008
364,70.4,4.006,1.995,0.346,2.008
365,70.2,4.006,1.996,0.309,2.007
366,70,4.007,1.996,0.3,2.008
367,69.8,4.007,1.996,0.277,2.008
368,69.6,4.007,1.996,0.259,2.008
369,69.4,4.007,1.996,0.277,2.008
370,69.2,4.007,1.996,0.29,2.008
371,69,4.006,1.996,0.278,2.007
372,68.8,4.006,1.996,0.279,2.007
373,68.6,4.007,1.996,0.28,2.008
374,68.4,4.007,1.996,0.277,2.008
375,68.2,4.007,1.996,0.271,2.008
376,68,4.007,1.996,0.274,2.008
377,67.8,4.004,1.996,0.279,2.006
378,67.6,3.995,1.996,0.277,2.002
379,67.4,3.984,1.994,0.278,1.998
380,67.2,3.976,1.989,0.281,1.999
381,67,3.968,1.985,0.274,1.999
382,66.8,3.957,1.98,0.281,1.998
383,66.6,3.95,1.976,0.272,1.999
384,66.4,3.94,1.971,0.272,1.999
385,66.2,3.932,1.967,0.276,1.999
386,66,3.922,1.962,0.272,1.999
387,65.8,3.914,1.958,0.273,1.999
388,65.6,3.904,1.953,0.277,1.999
389,65.4,3.895,1.949,0.274,1.998
390,65.2,3.887,1.945,0.272,1.998
391,65,3.877,1.94,0.274,1.998
392,64.8,3.871,1.936,0.268,1.999
393,64.6,3.86,1.931,0.267,1.999
394,64.4,3.854,1.927,0.269,2
395,64.2,3.843,1.922,0.267,1.999
396,64,3.834,1.918,0.268,1.999
397,63.8,3.825,1.913,0.274,1.999
398,63.6,3.816,1.909,0.271,1.999
399,63.4,3.808,1.905,0.267,1.999
400,63.2,3.798,1.9,0.267,1.999
401,63,3.791,1.896,0.259,1.999
402,62.8,3.781,1.891,0.262,1.999
403,62.6,3.772,1.887,0.259,1.999
404,62.4,3.763,1.882,0.258,1.999
405,62.2,3.754,1.878,0.262,1.999
406,62,3.743,1.873,0.259,1.998
407,61.8,3.735,1.868,0.251,1.999
408,61.6,3.727,1.864,0.258,1.999
409,61.4,3.716,1.859,0.256,1.999
410,61.2,3.708,1.855,0.25,1.999
411,61,3.698,1.849,0.253,2
412,60.8,3.69,1.845,0.25,2
413,60.6,3.681,1.84,0.25,2.001
414,60.4,3.673,1.836,0.251,2.001
415,60.2,3.663,1.831,0.251,2.001
416,60,3.655,1.827,0.253,2.001
417,59.8,3.648,1.823,0.253,2.001
418,59.6,3.637,1.818,0.25,2.001
419,59.4,3.629,1.814,0.247,2.001
420,59.2,3.62,1.81,0.248,2
421,59,3.613,1.806,0.243,2.001
422,58.8,3.603,1.801,0.249,2.001
423,58.6,3.594,1.797,0.248,2
424,58.4,3.583,1.791,0.247,2.001
425,58.2,3.575,1.787,0.25,2.001
426,58,3.566,1.783,0.246,2
427,57.8,3.556,1.778,0.247,2
428,57.6,3.548,1.774,0.243,2
429,57.4,3.538,1.769,0.243,2
430,57.2,3.53,1.765,0.246,2
431,57,3.519,1.76,0.243,1.999
432,56.8,3.511,1.756,0.245,1.999
433,56.6,3.5,1.75,0.247,2
434,56.4,3.49,1.745,0.249,2
435,56.2,3.482,1.741,0.25,2
436,56,3.471,1.736,0.245,1.999
437,55.8,3.463,1.732,0.24,1.999
438,55.6,3.452,1.727,0.247,1.999
439,55.4,3.443,1.722,0.245,1.999
440,55.2,3.433,1.717,0.244,1.999
441,55,3.425,1.713,0.25,1.999
442,54.8,3.415,1.707,0.243,2.001
443,54.6,3.406,1.703,0.247,2
444,54.4,3.397,1.699,0.249,1.999
445,54.2,3.388,1.694,0.243,2
446,54,3.38,1.69,0.245,2
447,53.8,3.371,1.686,0.241,1.999
448,53.6,3.363,1.682,0.241,1.999
449,53.4,3.352,1.676,0.243,2
450,53.2,3.344,1.672,0.245,2
451,53,3.334,1.667,0.242,2
452,52.8,3.327,1.664,0.243,1.999
453,52.6,3.318,1.659,0.246,2
454,52.4,3.307,1.654,0.245,1.999
455,52.2,3.3,1.65,0.243,2
456,52,3.291,1.645,0.24,2.001
457,51.8,3.282,1.641,0.243,2
458,51.6,3.272,1.636,0.245,2
459,51.4,3.263,1.632,0.241,1.999
460,51.2,3.254,1.627,0.243,2
461,51,3.245,1.622,0.247,2.001
462,50.8,3.237,1.618,0.242,2.001
463,50.6,3.226,1.613,0.246,2
464,50.4,3.218,1.609,0.24,2
465,50.2,3.208,1.604,0.24,2
466,50,3.201,1.6,0.241,2.001
467,49.8,3.191,1.595,0.242,2.001
468,49.6,3.184,1.591,0.239,2.001
469,49.4,3.173,1.586,0.238,2.001
470,49.2,3.165,1.582,0.244,2.001
471,49,3.158,1.578,0.243,2.001
472,48.8,3.147,1.573,0.238,2.001
473,48.6,3.14,1.569,0.237,2.001
474,48.4,3.131,1.564,0.234,2.002
475,48.2,3.123,1.56,0.231,2.002
476,48,3.112,1.555,0.239,2.001
477,47.8,3.103,1.551,0.244,2.001
478,47.6,3.093,1.546,0.234,2.001
479,47.4,3.084,1.541,0.242,2.001
480,47.2,3.075,1.536,0.244,2.002
481,47,3.064,1.531,0.235,2.001
482,46.8,3.056,1.527,0.234,2.001
483,46.6,3.045,1.522,0.237,2.001
484,46.4,3.036,1.518,0.234,2
485,46.2,3.025,1.512,0.237,2.001
486,46,3.016,1.508,0.239,2
487,45.8,3.005,1.502,0.236,2.001
488,45.6,2.996,1.498,0.236,2
489,45.4,2.988,1.493,0.235,2.001
490,45.2,2.977,1.488,0.24,2.001
491,45,2.969,1.484,0.233,2.001
492,44.8,2.959,1.479,0.232,2.001
493,44.6,2.95,1.475,0.235,2
494,44.4,2.94,1.47,0.238,2
495,44.2,2.932,1.466,0.234,2
496,44,2.923,1.461,0.233,2.001
497,43.8,2.913,1.456,0.236,2.001
498,43.6,2.905,1.452,0.236,2.001
499,43.4,2.895,1.447,0.234,2.001
500,43.2,2.886,1.443,0.231,2
501,43,2.877,1.438,0.231,2.001
502,42.8,2.868,1.434,0.234,2
503,42.6,2.858,1.429,0.233,2
504,42.4,2.85,1.424,0.231,2.001
505,42.2,2.84,1.42,0.233,2
506,42,2.831,1.415,0.234,2.001
507,41.8,2.823,1.411,0.234,2.001
508,41.6,2.812,1.406,0.234,2
509,41.4,2.805,1.402,0.227,2.001
510,41.2,2.794,1.396,0.228,2.001
511,41,2.786,1.392,0.23,2.001
512,40.8,2.777,1.387,0.229,2.002
513,40.6,2.768,1.383,0.227,2.001
514,40.4,2.758,1.378,0.227,2.001
515,40.2,2.75,1.374,0.231,2.001
516,40,2.741,1.37,0.227,2.001
517,39.8,2.731,1.365,0.222,2.001
518,39.6,2.722,1.36,0.222,2.001
519,39.4,2.713,1.356,0.22,2.001
520,39.2,2.705,1.352,0.219,2.001
521,39,2.695,1.347,0.22,2.001
522,38.8,2.687,1.343,0.218,2.001
523,38.6,2.676,1.337,0.217,2.001
524,38.4,2.668,1.333,0.219,2.002
525,38.2,2.66,1.329,0.217,2.002
526,38,2.649,1.324,0.215,2.001
527,37.8,2.642,1.32,0.211,2.002
528,37.6,2.632,1.315,0.208,2.002
529,37.4,2.623,1.311,0.208,2.001
530,37.2,2.614,1.306,0.206,2.002
531,37,2.605,1.302,0.204,2.001
