Sn,Degree,Volt CH-1,Volt CH-2,Load,Sync
400,13.05,3.728,1.839,19.7,2.027
401,13,3.714,1.833,19.7,2.026
402,12.95,3.7,1.826,19.6,2.026
403,12.9,3.688,1.821,19.6,2.025
404,12.85,3.677,1.816,19.6,2.025
405,12.8,3.667,1.809,19.5,2.027
406,12.75,3.657,1.803,19.5,2.028
407,12.7,3.645,1.799,19.5,2.026
408,12.65,3.634,1.792,19.5,2.028
409,12.6,3.621,1.787,19.4,2.026
410,12.55,3.611,1.781,19.4,2.028
411,12.5,3.6,1.775,19.4,2.028
412,12.45,3.585,1.769,19.3,2.027
413,12.4,3.572,1.765,19.3,2.024
414,12.35,3.559,1.758,19.2,2.024
415,12.3,3.548,1.752,19.2,2.025
416,12.25,3.536,1.747,19.2,2.024
417,12.2,3.525,1.741,19.1,2.025
418,12.15,3.513,1.735,19.1,2.025
419,12.1,3.502,1.729,19.1,2.025
420,12.05,3.491,1.723,19,2.026
421,12,3.481,1.717,19,2.027
422,11.95,3.468,1.712,19,2.026
423,11.9,3.455,1.706,19,2.025
424,11.85,3.445,1.7,18.9,2.026
425,11.8,3.432,1.694,18.9,2.026
426,11.75,3.417,1.689,18.9,2.023
427,11.7,3.406,1.683,18.8,2.024
428,11.65,3.394,1.678,18.8,2.023
429,11.6,3.384,1.671,18.8,2.025
430,11.55,3.373,1.665,18.8,2.026
431,11.5,3.361,1.659,18.7,2.026
432,11.45,3.349,1.654,18.7,2.025
433,11.4,3.336,1.648,18.7,2.024
434,11.35,3.324,1.642,18.6,2.024
435,11.3,3.31,1.637,18.7,2.022
436,11.25,3.297,1.631,18.6,2.021
437,11.2,3.285,1.625,18.5,2.022
438,11.15,3.273,1.619,18.5,2.022
439,11.1,3.26,1.614,18.5,2.02
440,11.05,3.25,1.608,18.5,2.021
441,11,3.238,1.602,18.5,2.021
442,10.95,3.225,1.597,18.4,2.019
443,10.9,3.21,1.59,18.4,2.019
444,10.85,3.197,1.584,18.3,2.018
445,10.8,3.185,1.579,18.4,2.017
446,10.75,3.175,1.573,18.3,2.018
447,10.7,3.163,1.567,18.2,2.019
448,10.65,3.15,1.561,18.2,2.018
449,10.6,3.136,1.556,18.2,2.015
450,10.55,3.122,1.549,18.2,2.015
451,10.5,3.109,1.543,18.1,2.015
452,10.45,3.098,1.538,18.1,2.014
453,10.4,3.086,1.532,18.1,2.014
454,10.35,3.072,1.526,18,2.013
455,10.3,3.061,1.52,18,2.014
456,10.25,3.05,1.514,18,2.015
457,10.2,3.037,1.507,18,2.015
458,10.15,3.02,1.501,18,2.012
459,10.1,3.009,1.497,17.9,2.01
460,10.05,2.998,1.491,17.9,2.011
461,10,2.981,1.484,17.9,2.009
462,9.95,2.971,1.479,17.8,2.009
463,9.9,2.955,1.472,17.8,2.007
464,9.85,2.941,1.466,17.8,2.006
465,9.8,2.928,1.46,17.7,2.005
466,9.75,2.916,1.454,17.7,2.006
467,9.7,2.904,1.448,17.7,2.006
468,9.65,2.892,1.441,17.6,2.007
469,9.6,2.881,1.435,17.6,2.008
470,9.55,2.869,1.429,17.6,2.008
471,9.5,2.854,1.424,17.5,2.004
472,9.45,2.841,1.418,17.5,2.004
473,9.4,2.827,1.411,17.5,2.004
474,9.35,2.817,1.405,17.5,2.005
475,9.3,2.801,1.399,17.5,2.002
476,9.25,2.788,1.394,17.5,2
477,9.2,2.776,1.387,17.4,2.001
478,9.15,2.766,1.381,17.3,2.003
479,9.1,2.754,1.374,17.3,2.004
480,9.05,2.742,1.369,17.3,2.003
481,9,2.728,1.363,17.2,2.001
482,8.95,2.716,1.357,17.2,2.001
483,8.9,2.705,1.35,17.2,2.004
484,8.85,2.692,1.343,17.2,2.004
485,8.8,2.678,1.337,17.1,2.003
486,8.75,2.663,1.331,17.1,2.001
487,8.7,2.652,1.325,17.1,2.002
488,8.65,2.639,1.319,17,2.001
489,8.6,2.627,1.312,17,2.002
490,8.55,2.614,1.306,17,2.002
491,8.5,2.602,1.299,17,2.003
492,8.45,2.594,1.293,17,2.006
493,8.4,2.58,1.286,16.9,2.006
494,8.35,2.568,1.281,16.9,2.005
495,8.3,2.557,1.274,16.9,2.007
496,8.25,2.545,1.268,16.8,2.007
497,8.2,2.531,1.26,16.8,2.009
