Sn,Degree,Volt CH-1,Volt CH-2,Load,Sync,,,,,,,,,,,,
158,31.4,2.303,1.154,0.257,1.996,,2.3040,1.1545,,,2.3040,1.15452,,,,,
159,31.6,2.314,1.159,0.256,1.997,,2.3120,1.1585,,,2.3120,1.15852,,,,,
160,31.8,2.322,1.163,0.261,1.997,,2.3230,1.1635,,,2.3230,1.16352,,,,,
161,32,2.332,1.168,0.261,1.997,,2.3310,1.1675,,,2.3310,1.16752,,,,,
162,32.2,2.341,1.173,0.258,1.996,,2.3410,1.1725,,,2.3410,1.17252,,,,,
163,32.4,2.35,1.177,0.262,1.997,,2.3500,1.1775,,,2.3500,1.17752,,,,,
164,32.6,2.361,1.182,0.265,1.997,,2.3590,1.1815,,,2.3590,1.18152,,,,,
165,32.8,2.37,1.186,0.263,1.998,,2.3700,1.1865,,,2.3700,1.18652,,,,,
166,33,2.379,1.191,0.268,1.997,,2.3790,1.1905,,,2.3790,1.19052,,,,,
167,33.2,2.387,1.195,0.264,1.997,,2.3880,1.1955,,,2.3880,1.19552,,,,,
168,33.4,2.397,1.2,0.263,1.998,,2.3960,1.1995,,,2.3960,1.19952,,,,,
169,33.6,2.404,1.203,0.266,1.998,,2.4060,1.2045,,,2.4060,1.20452,,,,,
170,33.8,2.416,1.21,0.264,1.997,,2.4130,1.2075,,,2.4130,1.20752,,,,,
171,34,2.425,1.213,0.261,1.999,,2.4250,1.2145,,,2.4250,1.21452,,,,,
172,34.2,2.433,1.218,0.264,1.998,,2.4340,1.2175,,,2.4340,1.21752,,,,,
173,34.4,2.442,1.223,0.269,1.997,,2.4420,1.2225,,,2.4420,1.22252,,,,,
174,34.6,2.451,1.227,0.264,1.998,,2.4510,1.2275,,,2.4510,1.22752,,,,,
175,34.8,2.46,1.232,0.272,1.997,,2.4600,1.2315,,,2.4600,1.23152,,,,,
176,35,2.469,1.235,0.27,1.999,,2.4690,1.2365,,,2.4690,1.23652,,,,,
177,35.2,2.48,1.242,0.265,1.997,,2.4780,1.2395,,,2.4780,1.23952,,,,,
178,35.4,2.489,1.246,0.27,1.998,,2.4890,1.2465,,,2.4890,1.24652,,,,,
179,35.6,2.5,1.252,0.267,1.997,,2.4980,1.2505,,,2.4980,1.25052,,,,,
180,35.8,2.509,1.256,0.265,1.998,,2.5090,1.2565,,,2.5090,1.25652,,,,,
181,36,2.516,1.26,0.271,1.997,,2.5180,1.2605,,,2.5180,1.26052,,,,,
182,36.2,2.527,1.265,0.271,1.998,,2.5250,1.2645,,,2.5250,1.26452,,,,,
183,36.4,2.537,1.27,0.27,1.998,,2.5360,1.2695,,,2.5360,1.26952,,,,,
184,36.6,2.546,1.275,0.274,1.997,,2.5460,1.2745,,,2.5460,1.27452,,,,,
185,36.8,2.555,1.279,0.269,1.998,,2.5550,1.2795,,,2.5550,1.27952,,,,,
186,37,2.565,1.284,0.271,1.998,,2.5640,1.2835,,,2.5640,1.28352,,,,,
187,37.2,2.573,1.288,0.274,1.998,,2.5740,1.2885,,,2.5740,1.28852,,,,,
188,37.4,2.583,1.293,0.272,1.998,,2.5820,1.2925,,,2.5820,1.29252,,,,,
189,37.6,2.592,1.297,0.269,1.998,,2.5920,1.2975,,,2.5920,1.29752,,,,,
190,37.8,2.6,1.301,0.273,1.998,,2.6010,1.3015,,,2.6010,1.30152,,,,,
191,38,2.611,1.306,0.276,1.999,,2.6090,1.3055,,,2.6090,1.30552,,,,,
192,38.2,2.619,1.311,0.273,1.998,,2.6200,1.3105,,,2.6200,1.31052,,,,,
193,38.4,2.627,1.315,0.278,1.998,,2.6280,1.3155,,,2.6280,1.31552,,,,,
194,38.6,2.636,1.319,0.274,1.998,,2.6360,1.3195,,,2.6360,1.31952,,,,,
195,38.8,2.646,1.324,0.274,1.998,,2.6450,1.3235,,,2.6450,1.32352,,,,,
196,39,2.654,1.328,0.276,1.998,,2.6550,1.3285,,,2.6550,1.32852,,,,,
197,39.2,2.665,1.334,0.274,1.998,,2.6630,1.3325,,,2.6630,1.33252,,,,,
198,39.4,2.675,1.339,0.272,1.998,,2.6740,1.3385,,,2.6740,1.33852,,,,,
199,39.6,2.683,1.343,0.275,1.998,,2.6840,1.3435,,,2.6840,1.34352,,,,,
200,39.8,2.691,1.347,0.278,1.998,,2.6920,1.3475,,,2.6920,1.34752,,,,,
201,40,2.699,1.351,0.273,1.998,,2.7000,1.3515,,,2.7000,1.35152,,,,,
202,40.2,2.71,1.356,0.284,1.999,,2.7080,1.3555,,,2.7080,1.35552,,,,,
203,40.4,2.719,1.361,0.28,1.998,,2.7190,1.3605,,,2.7190,1.36052,,,,,
204,40.6,2.729,1.366,0.276,1.998,,2.7280,1.3655,,,2.7280,1.36552,,,,,
205,40.8,2.737,1.37,0.281,1.998,,2.7380,1.3705,,,2.7380,1.37052,,,,,
206,41,2.747,1.375,0.279,1.998,,2.7460,1.3745,,,2.7460,1.37452,,,,,
207,41.2,2.755,1.379,0.274,1.998,,2.7560,1.3795,,,2.7560,1.37952,,,,,
208,41.4,2.763,1.383,0.279,1.998,,2.7640,1.3835,,,2.7640,1.38352,,,,,
209,41.6,2.774,1.388,0.282,1.999,,2.7720,1.3875,,,2.7720,1.38752,,,,,
210,41.8,2.783,1.393,0.278,1.998,,2.7830,1.3925,,,2.7830,1.39252,,,,,
211,42,2.793,1.398,0.285,1.998,,2.7920,1.3975,,,2.7920,1.39752,,,,,
212,42.2,2.801,1.402,0.282,1.998,,2.8020,1.4025,,,2.8020,1.40252,,,,,
213,42.4,2.812,1.407,0.28,1.999,,2.8100,1.4065,,,2.8100,1.40652,,,,,
214,42.6,2.82,1.411,0.284,1.999,,2.8210,1.4115,,,2.8210,1.41152,,,,,
215,42.8,2.829,1.416,0.281,1.998,,2.8290,1.4155,,,2.8290,1.41552,,,,,
216,43,2.838,1.42,0.281,1.999,,2.8380,1.4205,,,2.8380,1.42052,,,,,
217,43.2,2.847,1.425,0.283,1.998,,2.8470,1.4245,,,2.8470,1.42452,,,,,
218,43.4,2.856,1.43,0.288,1.997,,2.8560,1.4295,,,2.8560,1.42952,,,,,
219,43.6,2.864,1.433,0.287,1.999,,2.8650,1.4345,,,2.8650,1.43452,,,,,
220,43.8,2.875,1.439,0.29,1.998,,2.8730,1.4375,,,2.8730,1.43752,,,,,
221,44,2.882,1.442,0.287,1.999,,2.8840,1.4435,,,2.8840,1.44352,,,,,
222,44.2,2.894,1.448,0.287,1.999,,2.8910,1.4465,,,2.8910,1.44652,,,,,
223,44.4,2.902,1.452,0.289,1.999,,2.9030,1.4525,,,2.9030,1.45252,,,,,
224,44.6,2.912,1.457,0.286,1.999,,2.9110,1.4565,,,2.9110,1.45652,,,,,
225,44.8,2.92,1.462,0.286,1.997,,2.9210,1.4615,,,2.9210,1.46152,,,,,
226,45,2.929,1.466,0.288,1.998,,2.9290,1.4665,,,2.9290,1.46652,,,,,
227,45.2,2.939,1.471,0.289,1.998,,2.9380,1.4705,,,2.9380,1.47052,,,,,
228,45.4,2.946,1.475,0.29,1.997,,2.9480,1.4755,,,2.9480,1.47552,,,,,
229,45.6,2.959,1.481,0.292,1.998,,2.9550,1.4795,,,2.9550,1.47952,,,,,
230,45.8,2.967,1.484,0.288,1.999,,2.9680,1.4855,,,2.9680,1.48552,,,,,
231,46,2.978,1.49,0.292,1.999,,2.9760,1.4885,,,2.9760,1.48852,,,,,
232,46.2,2.987,1.494,0.291,1.999,,2.9870,1.4945,,,2.9870,1.49452,,,,,
233,46.4,2.996,1.499,0.289,1.999,,2.9960,1.4985,,,2.9960,1.49852,,,,,
234,46.6,3.004,1.503,0.29,1.999,,3.0050,1.5035,,,3.0050,1.50352,,,,,
235,46.8,3.013,1.507,0.29,1.999,,3.0130,1.5075,,,3.0130,1.50752,,,,,
236,47,3.024,1.513,0.295,1.999,,3.0220,1.5115,,,3.0220,1.51152,,,,,
237,47.2,3.032,1.517,0.291,1.999,,3.0330,1.5175,,,3.0330,1.51752,,,,,
238,47.4,3.041,1.521,0.296,1.999,,3.0410,1.5215,,,3.0410,1.52152,,,,,
239,47.6,3.048,1.525,0.296,1.999,,3.0500,1.5255,,,3.0500,1.52552,,,,,
240,47.8,3.059,1.53,0.293,1.999,,3.0570,1.5295,,,3.0570,1.52952,,,,,
241,48,3.067,1.534,0.293,1.999,,3.0680,1.5345,,,3.0680,1.53452,,,,,
242,48.2,3.078,1.54,0.294,1.999,,3.0760,1.5385,,,3.0760,1.53852,,,,,
243,48.4,3.085,1.543,0.292,1.999,,3.0870,1.5445,,,3.0870,1.54452,,,,,
244,48.6,3.093,1.547,0.294,1.999,,3.0940,1.5475,,,3.0940,1.54752,,,,,
245,48.8,3.101,1.551,0.298,1.999,,3.1020,1.5515,,,3.1020,1.55152,,,,,
246,49,3.108,1.555,0.296,1.999,,3.1100,1.5555,,,3.1100,1.55552,,,,,
247,49.2,3.118,1.56,0.298,1.999,,3.1170,1.5595,,,3.1170,1.55952,,,,,
248,49.4,3.127,1.565,0.298,1.998,,3.1270,1.5645,,,3.1270,1.56452,,,,,
249,49.6,3.138,1.57,0.297,1.999,,3.1360,1.5695,,,3.1360,1.56952,,,,,
250,49.8,3.145,1.574,0.298,1.998,,3.1470,1.5745,,,3.1470,1.57452,,,,,
251,50,3.158,1.58,0.298,1.999,,3.1540,1.5785,,,3.1540,1.57852,,,,,
252,50.2,3.165,1.584,0.297,1.998,,3.1670,1.5845,,,3.1670,1.58452,,,,,
253,50.4,3.173,1.588,0.3,1.998,,3.1740,1.5885,,,3.1740,1.58852,,,,,
254,50.6,3.184,1.592,0.304,2,,3.1820,1.5925,,,3.1820,1.59252,,,,,
255,50.8,3.192,1.597,0.301,1.999,,3.1930,1.5965,,,3.1930,1.59652,,,,,
256,51,3.202,1.602,0.305,1.999,,3.2010,1.6015,,,3.2010,1.60152,,,,,
257,51.2,3.21,1.606,0.303,1.999,,3.2110,1.6065,,,3.2110,1.60652,,,,,
258,51.4,3.22,1.611,0.301,1.999,,3.2190,1.6105,,,3.2190,1.61052,,,,,
259,51.6,3.227,1.614,0.303,1.999,,3.2290,1.6155,,,3.2290,1.61552,,,,,
260,51.8,3.237,1.619,0.302,1.999,,3.2360,1.6185,,,3.2360,1.61852,,,,,
261,52,3.246,1.624,0.301,1.999,,3.2460,1.6235,,,3.2460,1.62352,,,,,
262,52.2,3.254,1.628,0.303,1.999,,3.2550,1.6285,,,3.2550,1.62852,,,,,
263,52.4,3.265,1.633,0.306,1.999,,3.2630,1.6325,,,3.2630,1.63252,,,,,
264,52.6,3.272,1.637,0.304,1.999,,3.2740,1.6375,,,3.2740,1.63752,,,,,
265,52.8,3.281,1.641,0.309,1.999,,3.2810,1.6415,,,3.2810,1.64152,,,,,
266,53,3.29,1.645,0.305,2,,3.2900,1.6455,,,3.2900,1.64552,,,,,
267,53.2,3.299,1.65,0.306,1.999,,3.2990,1.6495,,,3.2990,1.64952,,,,,
268,53.4,3.307,1.654,0.311,1.999,,3.3080,1.6545,,,3.3080,1.65452,,,,,
269,53.6,3.319,1.66,0.305,1.999,,3.3160,1.6585,,,3.3160,1.65852,,,,,
270,53.8,3.326,1.664,0.304,1.999,,3.3280,1.6645,,,3.3280,1.66452,,,,,
271,54,3.335,1.668,0.309,1.999,,3.3350,1.6685,,,3.3350,1.66852,,,,,
272,54.2,3.343,1.672,0.312,1.999,,3.3440,1.6725,,,3.3440,1.67252,,,,,
273,54.4,3.352,1.677,0.309,1.999,,3.3520,1.6765,,,3.3520,1.67652,,,,,
274,54.6,3.364,1.683,0.317,1.999,,3.3610,1.6815,,,3.3610,1.68152,,,,,
275,54.8,3.372,1.687,0.312,1.999,,3.3730,1.6875,,,3.3730,1.68752,,,,,
276,55,3.383,1.692,0.311,1.999,,3.3810,1.6915,,,3.3810,1.69152,,,,,
277,55.2,3.392,1.696,0.314,2,,3.3920,1.6965,,,3.3920,1.69652,,,,,
278,55.4,3.401,1.701,0.313,1.999,,3.4010,1.7005,,,3.4010,1.70052,,,,,
279,55.6,3.41,1.705,0.311,2,,3.4100,1.7055,,,3.4100,1.70552,,,,,
280,55.8,3.417,1.709,0.314,1.999,,3.4190,1.7095,,,3.4190,1.70952,,,,,
281,56,3.429,1.715,0.318,1.999,,3.4260,1.7135,,,3.4260,1.71352,,,,,
282,56.2,3.438,1.719,0.316,2,,3.4380,1.7195,,,3.4380,1.71952,,,,,
283,56.4,3.448,1.724,0.32,2,,3.4470,1.7235,,,3.4470,1.72352,,,,,
284,56.6,3.456,1.729,0.316,1.999,,3.4570,1.7285,,,3.4570,1.72852,,,,,
285,56.8,3.467,1.734,0.317,1.999,,3.4650,1.7335,,,3.4650,1.73352,,,,,
286,57,3.475,1.738,0.319,1.999,,3.4760,1.7385,,,3.4760,1.73852,,,,,
287,57.2,3.484,1.742,0.315,2,,3.4840,1.7425,,,3.4840,1.74252,,,,,
288,57.4,3.492,1.747,0.315,1.999,,3.4930,1.7465,,,3.4930,1.74652,,,,,
289,57.6,3.502,1.751,0.317,2,,3.5010,1.7515,,,3.5010,1.75152,,,,,
290,57.8,3.511,1.756,0.322,1.999,,3.5110,1.7555,,,3.5110,1.75552,,,,,
291,58,3.518,1.76,0.319,1.999,,3.5200,1.7605,,,3.5200,1.76052,,,,,
292,58.2,3.527,1.764,0.322,1.999,,3.5270,1.7645,,,3.5270,1.76452,,,,,
293,58.4,3.536,1.768,0.322,2,,3.5360,1.7685,,,3.5360,1.76852,,,,,
294,58.6,3.547,1.774,0.324,1.999,,3.5450,1.7725,,,3.5450,1.77252,,,,,
295,58.8,3.555,1.778,0.325,1.999,,3.5560,1.7785,,,3.5560,1.77852,,,,,
