ErrDate,ErrTime,ErrNumber,Error,ErrLine,ErrPlace,Hint
20-01-2023,09:47:48 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:48 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:48 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:48 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:49 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:49 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:49 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:49 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:49 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:49 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:49 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:49 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:49 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:49 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:50 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:50 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:50 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:50 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:50 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:50 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:50 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:50 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:50 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:50 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:50 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:50 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:51 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:51 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:51 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:51 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:51 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:51 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:51 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:51 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:51 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:51 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:51 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:51 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:52 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:52 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:52 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:52 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:52 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:52 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:52 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:52 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:52 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:52 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
20-01-2023,09:47:52 AM,340,Control array element '1' doesn't exist,0,frmMonitor,LoadData
